path,format,width,height,bytes,exif_ms,full_decode_ms,full_resize_hash_ms,full_decode_result,captured_at_source,fast_hash_ms,decode_source,fast_hash_result
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-37_797.jpeg,jpeg,4032,3024,2355038,0.08,51.70,58.76,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-40_428.jpeg,jpeg,4032,3024,2350094,0.15,50.00,59.03,ok,exif_original,1.16,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-42_527.jpeg,jpeg,4032,3024,2438965,0.08,52.80,58.38,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-43_265.jpeg,jpeg,4032,3024,2505348,0.08,52.99,57.73,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-44_531.jpeg,jpeg,4032,3024,2509567,0.08,53.34,59.16,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-45_813.jpeg,jpeg,4032,3024,2407126,0.08,53.19,64.74,ok,exif_original,1.20,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-46_799.jpeg,jpeg,4032,3024,2511908,0.11,54.27,59.56,ok,exif_original,1.24,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-47_676.jpeg,jpeg,4032,3024,2522667,0.07,53.24,58.62,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-48_898.jpeg,jpeg,4032,3024,2536152,0.08,53.42,59.42,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-49_871.jpeg,jpeg,4032,3024,2517452,0.26,55.05,58.52,ok,exif_original,1.38,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-51_283.jpeg,jpeg,4032,3024,2514636,0.08,53.10,58.50,ok,exif_original,1.25,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-52_527.jpeg,jpeg,4032,3024,2466618,0.07,52.81,58.44,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-53_282.jpeg,jpeg,4032,3024,2470973,0.07,52.61,58.61,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-20-57_506.jpeg,jpeg,4032,3024,2467898,0.07,53.31,58.37,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-26_932.jpeg,jpeg,3024,4032,3079831,0.08,59.04,76.43,ok,exif_original,1.13,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-27_299.jpeg,jpeg,3024,4032,3179748,0.07,59.47,74.72,ok,exif_original,1.10,exif_thumbnail,ok
